Name,Language_ID,Language,Region,Longitude,Latitude,Text,Photo,Audio,Video,Link,Credit_Photo,Credit_Audio,Credit_Video,More_Info,More_Info_URL,Notes
The Revitalization Process,1,Siletz Dee-ni,"Siletz, Oregon, USA",-123.91661,44.71983,"The Siletz tribal council was moved to action when linguists classified their tongue as “moribund” and destined for the dust-heap of history. They resolved that extinction is not inevitable and began a painstaking revitalization. The community has recorded nearly 14,000 words for the online Siletz Dee-ni Talking Dictionary, and younger members of the community are now learning, singing, and texting in the language.",Images\Siletz\SFF2011_Payn_7-10_0109-cropped2.jpg,,,,Photo Dan Payn,,,Try the Siletz Dee-ni Talking Dictionary to learn more about how technology is used to support the language,http://siletz.swarthmore.edu/,
"Alfred ""Bud"" Lane III Explains how to Deal with Modern Concepts in Siletz Dee-ni",1,Siletz Dee-ni,"Siletz, Oregon, USA",  -123.92011,44.72178,"“To do ceremonies properly, you have to have a grasp of the language. The English language doesn’t do it justice.” Alfred “Bud” Lane III. For the Confederated Tribes of Siletz Indians their language is as old as time itself, though still alive and keeping up with modern society. Language and traditional arts instructor Bud Lane teaches Siletz Dee-ni not only in the classroom but through basket weaving, regalia making or on his hands and knees in the forest digging spruce root like his ancestors. ",,,http://youtu.be/oSE5jHw985w,,,,Camera Charlie Weber,,,
Learning the Language through Basketry,1,Siletz Dee-ni,"Siletz, Oregon, USA",-123.84507,44.73437,"“When we’re making baskets, we’re teaching our language” Alfred ""Bud"" Lane III. Basket weaving is an important skill for the Confederated Tribes of Siletz Indians. They use traditional methods and materials to make a wide range of both utilitarian and ceremonial baskets including baby baskets ""gay-yu"", pack baskets ""tulh"", eating baskets ""xaa-ts’a"", and many others. The design for this close woven basket is called “Double Dance Knife”. In the process of making and collecting materials for the baskets lies not only the knowledge of basketry passed on but also the Siletz language.",Images\Siletz\EV_Siletz__D-xxx_8_2_11_double_dance_knife_design2.jpg,,,,Photo Jen Johnson,,,,,
The Siletz Culture Camps,1,Siletz Dee-ni,"Siletz, Oregon, USA",  -123.92011,44.72178,"Every summer the Confederated Tribes of Siletz Indians arrange a Culture Camp for the tribal families, where together they can learn and pass on the traditions, culture, and history of their ancestors in a village style atmosphere. It’s a place for meeting relatives, making new friends, learning how to smoke an eel, weave baskets, talk Siletz Dee-ni, and make wonderful regalia. It’s a place and a time to remember a proud heritage.",Images\Siletz\scan00052.jpg,,,,Photo Courtesy Siletz Tribal Collection,,,,,
Abamu Degio and Moreng Degio Sing a Traditional Koro Song,2,Koro,"Bana 3km / Yangtze, East Kameng District, Arunachal Pradesh, India",92.8574,27.2849,"Scientists work with new technologies to revitalize and record the Koro language and have created a digital video archive and an online talking dictionary. The work will help protect the world’s linguistic and intellectual diversity, while providing training, support, and technology to indigenous language activists.",,,http://youtu.be/7nTycxk-4NA,,,,Video by David Harrison and Jeremy Fahringer / National Geographic Enduring Voices Project,Read this article to learn more about the first scientific documentation of the Koro language,http://www.nytimes.com/2010/10/12/science/12language.html?_r=0,
The Koro Language Reflects the Society,2,Koro,"Palizi, West Kameng District, Arunacahl Pradesh, India",92.77701,27.29326,"Recent fieldwork by the Enduring Voices Project at National Geographic establishes Koro as a distinct tongue. The Koro language reflects a rich material culture and local biodiversity, including names for parts of traditional bamboo houses, names for different types of beads, names for local fish, plants, and other species that are used for nutrition or medicines.",Images\India\Koro\MM7782_14272.jpg,,,,Photo Lynn Johnson / National Geographic Enduring Voices Project,,,Watch this video on Koro Ethonotany to learn more about the uses of plants in medicine,http://www.youtube.com/watch?list=PL222485F3A3E14B69&v=yYGKLW-28lY&feature=player_embedded,
Koro Life,2,Koro,"Bana 3km / Yangse, East Kameng District, Arunachal Pradesh, India",92.8574,27.2849,"“Loss of culture is loss of identity. So we must continue our Koro language, continue our traditional customs, and follow our forefathers’ teachings.” Anthony Degio, Koro speaker, Arunachal Pradesh, India. Koro elders can still tell origin myths, stories about tiger hunting, and songs. The Koro people cultivate rice in pond fields, grow oranges, fish, and hunt. They build elaborate spirit houses ""sokrou ngin"" (photo) out of bamboo, where they make offerings to ensure a good harvest.",Images\India\Koro\KoroSpiritHouse_p10206572.jpg,,,,Photo Jeremy Fahringer / National Geographic Enduring Voices Project,,,Listen to Anthony Degio expand on the Koro language,http://www.youtube.com/watch?v=RA-xjzwfpqU&feature=share&list=PL222485F3A3E14B69,
A String of Stone Beads,2,Koro,"Palizi, West Kameng District, Arunacahl Pradesh, India",92.77701,27.29326,"Koro have more than 26 words to describe beads. Beyond being objects of adornment, beads are status symbols and currency. This toddler will receive this necklace of yellow stone beads at her wedding. ",Images\India\Koro\MM7782_15652.jpg,,,,Photo Lynn Johnson / National Geographic Enduring Voices Project,,,,,
Reviving and Renewing Traditional Tuvan Music,3,Tuvan,"Kyzyl, Republic of Tuva, Russian Federation",94.40641,51.70693,"“Tuvan music cannot live without the Tuvan language. Language is the beginning and the source.” Ayana Mongush, Tuvan musician and composer, member of Ugulza, Republic of Tuva. The all-female ensemble, Ugulza, is an unusual Tuvan group, since there are no throat-singers among them. Instead they play high level Tuvan traditional music with their own arrangements that features excellent vocals, virtuoso instrumental mastery, and compelling composition and arrangement.",,,http://youtu.be/4izo0of9ihs,,,,Video by Sean Quirk,,,
"Eduard Damdyn, a Traditional Throat Singer and Instrument Maker",3,Tuvan,"Kyzyl, Republic of Tuva, Russian Federation",94.38217,51.68091,"The Tuvan throat singers make little verses, ""kozhumak"", where they compete and try to beat each other by coming up with new themes, from livestock to women. “You don’t want to let the other person have the last word so you keep making things up”, Eduard Damdyn points out. Eduard is a powerful throat singer and considered especially talented in the Sygyt style. He has been singing since he was about 5 years old, and today he also makes a variety of traditional Tuvan instruments. ",,,http://youtu.be/ygwlFD3vr9I,,,,Video by Sean Quirk,,,
