Name,Language_ID,Language,Region,Longitude,Latitude,Text,Media,Link,Credit,Audio,Notes
Giving New Life to an Ancient Language,1,Siletz Dee-ni,"Siletz, Oregon, USA",-123.92011,44.72178,"<i>""For our children, their children, and their children"" Siletz Tribal Language Project, Confederated Tribes of Siletz Indians, Oregon.</i><Br>Pictured above, Alfred ""Bud"" Lane III of the Confederated Tribes of Siletz Indians in Oregon dances the traditional Feather Dance ""Nee Dosh"", with his six year-old granddaughter Halli Chaabayu Lane-Skauge and other members of the Siletz tribe.  A tribal leader, basketmaker, language educator, and cultural expert, Bud Lane is one of few fluent speakers of Siletz Dee-ni.  He and others have been working tirelessly to preserve the Siletz language and cultural traditions.",Photo,Images\Siletz\20120720_02a_eba_ps_011-cropped2.jpg,"Photo Ernest Amoroso, courtesy National Museum of the American Indian, Smithsonian Institution",15_Sec_Audio/Siletz/siletz-winkingsurfingbailing_out_water-intro.mp3,
Hidden in the Himalayas,2,Koro,"Kajo village, East Kameng District, Arunachal Pradesh, India",92.7574,27.31916,"Koro is an endangered Tibeto-Burman language spoken in Arunachal Pradesh, India with an estimated 800 to 1000 speakers.  Until recently, Koro was a ""hidden"" language, not acknowledged in scientific literature or by local and national political structures as a distinct language.  In the photo, Yaro Richo watches a video recording of a Koro song with children in Kajo village, East Kameng District, Arunachal Pradesh, India. ",Photo,Images\India\Koro\EV_Koro_P10102842.jpg,Photo Sange Degio,15_Sec_Audio\Koro\koro2.mp3,
Nomadic Knowledge and Experience,3,Tuvan,"Republic of Tuva, Russian Federation",95.62602,51.88727,"<i>""The Tuvan language is the most important, most valuable, most sturdy support of our art."" Andrei Mongush, Tuvan composer, musician, and singer.</i><Br>Tuvans are one of very few indigenous Siberian peoples who have managed to make their once threatened language vibrant again.  The Tuvan language is rooted in traditions such as nomadic arts, stone carving, instrument making, and horse-breeding.  However, the language also looks ahead to the internet age, utilizing technologies like talking dictionaries, smartphone apps, and automated machine translation from Tuvan to English. ",Photo,Images\Tuvan\MM7782_10692.jpg,Photo Lynn Johnson/ National Geographic Enduring Voices Project,15_Sec_Audio\Tuvan\sergei_kochaa2.mp3,
Back from the Brink,4,Hawaiian,"Hawaii, USA",  -155.09000,19.72972,"The Hawaiian language, ‘ōlelo Hawai’i, is flourishing after a rollercoaster ride of decline and revitalization.  In the 19th century, Hawai'i was one of the world’s most literate societies with over 90 percent of the population able to read and write, and nearly one hundred Hawaiian language newspapers published.  The language was almost destroyed as a result of Hawaii's annexation to the United States in the early 20th century.  In response to this decline, great efforts have been made since the latter part of the 20th century to revitalize the language.  Hawaiian was reestablished as an official language in 1978.  ",Photo,Images\Hawaii\DSC_0473-cropped2.jpg,Photo Maria Andaya/ UHH,15_Sec_Audio\Native_Hawaiian\Kaai.mp3,
Successful Revitalization,5,Welsh,"Wales, United Kingdom",-3.78371,52.13066,"<i>""With a language it's not just words. It's a way of life"" Aneirin Karadog, Welsh poet.</i><Br>In 2001, the Welsh language, one of Europe's oldest living languages, had an increase in its number of speakers for the first time in many years, centuries perhaps.  The latest census from 2011 however shows a slight decrease in the percentage of speakers, a disappointing and unexpected finding.  The Welsh language has official language status in Wales alongside English, and everything from road to supermarket signs is bilingual.",Photo,Images\Wales\SFF2009__FWK_Wales_BB_0418-2.jpg,Photo Betty Belanus,15_Sec_Audio\Welsh\Jeremy_Evas_in_Welsh.mp3,
Language in a Home away from Home,6,Garifuna,"Los Angeles, California, USA        ",-118.30421,34.00036,"<i>""If you lose your language, you lose your identity."" Flavio ""Paps"" Alvarez, Wanaragua chief, Los Angeles, USA.</i><Br>Before the 18th century the Garifuna people populated the Caribbean island of Saint Vincent.  Exiled in the late 1700s by the British to Honduras, the Garifuna people no longer speak their language in their native Saint Vincent.  Today the Garifunas live in diaspora communities ranging from Honduras, Guatemala, and Belize to Los Angeles and New York City.  The Garifuna lost their homeland but not their language.  Today, they strive to keep it alive.",Photo,Images\Garifuna\100_20072.jpg,Photo Michele Goldwasser,15_Sec_Audio\Garifuna\Lovell_short.mp3,
Language in a Home away from Home ,6,Garifuna,"Bronx, State of New York, USA",-73.91915,40.83625,"<i>ʺIf you lose your language, you lose your identity.ʺ Flavio ʺPapsʺ Alvarez, Wanaragua chief, Los Angeles, USA.</i><Br>Before the 18th century the Garifuna people populated the Caribbean island of Saint Vincent.  Exiled in the late 1700s by the British to Honduras, the Garifuna people no longer speak their language in their native Saint Vincent.  Today the Garifunas live in diaspora communities ranging from Honduras, Guatemala, and Belize to Los Angeles and New York City.  The Garifuna lost their homeland but not their language.  Today, they strive to keep it alive.",Photo,Images\Garifuna\100_20072.jpg,Photo Michele Goldwasser,15_Sec_Audio\Garifuna\Lovell_short.mp3,
Language in a Home away from Home,6,Garifuna,Honduras,-86.24191,15.20001,"<i>ʺIf you lose your language, you lose your identity.ʺ Flavio ʺPapsʺ Alvarez, Wanaragua chief, Los Angeles, USA.</i><Br>Before the 18th century the Garifuna people populated the Caribbean island of Saint Vincent.  Exiled in the late 1700s by the British to Honduras, the Garifuna people no longer speak their language in their native Saint Vincent.  Today the Garifunas live in diaspora communities ranging from Honduras, Guatemala, and Belize to Los Angeles and New York City.  The Garifuna lost their homeland but not their language.  Today, they strive to keep it alive.",Photo,Images\Garifuna\100_20072.jpg,Photo Michele Goldwasser,15_Sec_Audio\Garifuna\Lovell_short.mp3,
Language in a Home away from Home ,6,Garifuna,Belize,-88.52067,17.19803,"<i>ʺIf you lose your language, you lose your identity.ʺ Flavio ʺPapsʺ Alvarez, Wanaragua chief, Los Angeles, USA.</i><Br>Before the 18th century the Garifuna people populated the Caribbean island of Saint Vincent.  Exiled in the late 1700s by the British to Honduras, the Garifuna people no longer speak their language in their native Saint Vincent.  Today the Garifunas live in diaspora communities ranging from Honduras, Guatemala, and Belize to Los Angeles and New York City.  The Garifuna lost their homeland but not their language.  Today, they strive to keep it alive.",Photo,Images\Garifuna\100_20072.jpg,Photo Michele Goldwasser,15_Sec_Audio\Garifuna\Lovell_short.mp3,
Language in a Home away from Home,6,Garifuna,Guatemala,-90.23076,15.78347,"<i>ʺIf you lose your language, you lose your identity.ʺ Flavio ʺPapsʺ Alvarez, Wanaragua chief, Los Angeles, USA.</i><Br>Before the 18th century the Garifuna people populated the Caribbean island of Saint Vincent.  Exiled in the late 1700s by the British to Honduras, the Garifuna people no longer speak their language in their native Saint Vincent.  Today the Garifunas live in diaspora communities ranging from Honduras, Guatemala, and Belize to Los Angeles and New York City.  The Garifuna lost their homeland but not their language.  Today, they strive to keep it alive.",Photo,Images\Garifuna\100_20072.jpg,Photo Michele Goldwasser,15_Sec_Audio\Garifuna\Lovell_short.mp3,
